id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.1
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.6,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.4,80,0.59,0.6,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Autumn Sonata,Elara Voss,classical,melancholic,0.22,58,0.28,0.18,0.98
12,Crown Season,Blaze Delmont,hip-hop,confident,0.87,96,0.74,0.91,0.08
13,Velvet Evenings,Sable Monroe,r&b,romantic,0.54,85,0.78,0.76,0.42
14,Iron Collapse,Dread Signal,metal,angry,0.98,180,0.22,0.55,0.03
15,Dirt Road Letters,Cassie June,country,nostalgic,0.55,104,0.58,0.64,0.75
16,Laser Horizon,Pulse Nova,electronic,euphoric,0.95,140,0.89,0.96,0.04
17,River Hymn,The Willows,folk,peaceful,0.3,76,0.66,0.44,0.93
18,Empty Glass,Ray Harlow,blues,sad,0.44,68,0.21,0.5,0.8
19,Seaside Remedy,Kilo Sun,reggae,carefree,0.62,88,0.82,0.78,0.55
20,Rise Up Choir,Grace Collective,gospel,uplifting,0.8,112,0.91,0.72,0.6